,Fechas,TAIRE10_SSR,Estacion
120,2020-06-27,22.98181818181818,MED-FISC
121,2020-06-28,21.0375,MED-FISC
122,2020-06-29,22.85416666666667,MED-FISC
123,2020-06-30,23.30869565217391,MED-FISC
124,2020-07-01,21.97499999999999,MED-FISC
125,2020-07-02,22.4125,MED-FISC
126,2020-07-03,22.975,MED-FISC
127,2020-07-04,21.2625,MED-FISC
128,2020-07-05,20.22916666666667,MED-FISC
129,2020-07-06,21.7125,MED-FISC
130,2020-07-07,21.50909090909091,MED-FISC
131,2020-07-08,20.96666666666667,MED-FISC
132,2020-07-09,22.19166666666667,MED-FISC
133,2020-07-10,22.7375,MED-FISC
134,2020-07-11,20.70416666666667,MED-FISC
135,2020-07-12,21.15833333333333,MED-FISC
136,2020-07-13,23.15909090909091,MED-FISC
137,2020-07-14,22.35416666666667,MED-FISC
138,2020-07-15,22.62916666666666,MED-FISC
139,2020-07-16,22.90833333333333,MED-FISC
140,2020-07-17,24.25,MED-FISC
141,2020-07-18,24.35416666666666,MED-FISC
142,2020-07-19,24.40833333333333,MED-FISC
143,2020-07-20,23.95,MED-FISC
144,2020-07-21,23.02083333333333,MED-FISC
145,2020-07-22,21.77916666666667,MED-FISC
146,2020-07-23,20.35416666666667,MED-FISC
147,2020-07-24,19.935,MED-FISC
148,2020-07-25,20.59,MED-FISC
149,2020-07-26,22.61818181818182,MED-FISC
150,2020-07-27,22.5125,MED-FISC
151,2020-07-28,23.12916666666667,MED-FISC
152,2020-07-29,23.925,MED-FISC
153,2020-07-30,22.29545454545454,MED-FISC
154,2020-07-31,23.73913043478261,MED-FISC
155,2020-08-01,23.87916666666666,MED-FISC
156,2020-08-02,24.45416666666667,MED-FISC
157,2020-08-03,24.5,MED-FISC
158,2020-08-04,24.65833333333333,MED-FISC
159,2020-08-05,23.99583333333333,MED-FISC
160,2020-08-06,23.63333333333334,MED-FISC
161,2020-08-07,24.45833333333333,MED-FISC
162,2020-08-08,24.99166666666667,MED-FISC
163,2020-08-09,24.99166666666666,MED-FISC
164,2020-08-10,24.525,MED-FISC
165,2020-08-11,24.10416666666667,MED-FISC
166,2020-08-12,23.6875,MED-FISC
167,2020-08-13,22.89166666666667,MED-FISC
168,2020-08-14,22.25,MED-FISC
169,2020-08-15,22.8625,MED-FISC
170,2020-08-16,22.11666666666666,MED-FISC
171,2020-08-17,21.55416666666667,MED-FISC
172,2020-08-18,22.97916666666667,MED-FISC
173,2020-08-19,22.25909090909092,MED-FISC
174,2020-08-20,22.30416666666667,MED-FISC
175,2020-08-21,22.67083333333333,MED-FISC
176,2020-08-22,20.9125,MED-FISC
177,2020-08-23,21.35416666666667,MED-FISC
178,2020-08-24,21.10833333333333,MED-FISC
179,2020-08-25,21.1375,MED-FISC
180,2020-08-26,20.925,MED-FISC
181,2020-08-27,21.49583333333334,MED-FISC
182,2020-08-28,22.80833333333333,MED-FISC
183,2020-08-29,22.45,MED-FISC
184,2020-08-30,21.04583333333333,MED-FISC
185,2020-08-31,20.82173913043479,MED-FISC
186,2020-09-01,21.57142857142857,MED-FISC
187,2020-09-02,20.94090909090909,MED-FISC
188,2020-09-03,20.67916666666666,MED-FISC
189,2020-09-04,21.75,MED-FISC
190,2020-09-05,23.67916666666667,MED-FISC
191,2020-09-06,22.5125,MED-FISC
192,2020-09-07,21.9095238095238,MED-FISC
193,2020-09-08,20.06818181818182,MED-FISC
194,2020-09-09,21.14166666666667,MED-FISC
195,2020-09-10,22.6375,MED-FISC
196,2020-09-11,23.25416666666667,MED-FISC
197,2020-09-12,21.95833333333334,MED-FISC
198,2020-09-13,23.43333333333333,MED-FISC
199,2020-09-14,23.98333333333333,MED-FISC
200,2020-09-15,22.64583333333333,MED-FISC
201,2020-09-16,20.6875,MED-FISC
202,2020-09-17,21.18260869565217,MED-FISC
203,2020-09-18,20.8625,MED-FISC
204,2020-09-19,21.78636363636364,MED-FISC
205,2020-09-20,20.79166666666666,MED-FISC
206,2020-09-21,21.44583333333334,MED-FISC
207,2020-09-22,23.55833333333333,MED-FISC
208,2020-09-23,23.175,MED-FISC
209,2020-09-24,23.75416666666667,MED-FISC
210,2020-09-25,23.725,MED-FISC
211,2020-09-26,21.35454545454545,MED-FISC
212,2020-09-27,22.46666666666667,MED-FISC
