,Fechas,Humedad,Estacion
120,2020-06-27,68.22666666666667,MED-FISC
121,2020-06-28,72.31708333333333,MED-FISC
122,2020-06-29,64.21833333333333,MED-FISC
123,2020-06-30,64.49565217391304,MED-FISC
124,2020-07-01,69.3925,MED-FISC
125,2020-07-02,68.67541666666666,MED-FISC
126,2020-07-03,66.43583333333333,MED-FISC
127,2020-07-04,72.79458333333334,MED-FISC
128,2020-07-05,72.94791666666667,MED-FISC
129,2020-07-06,67.72083333333333,MED-FISC
130,2020-07-07,70.62791666666666,MED-FISC
131,2020-07-08,72.15761904761905,MED-FISC
132,2020-07-09,66.18083333333333,MED-FISC
133,2020-07-10,64.96333333333332,MED-FISC
134,2020-07-11,72.635,MED-FISC
135,2020-07-12,72.63916666666667,MED-FISC
136,2020-07-13,63.33291666666667,MED-FISC
137,2020-07-14,62.085,MED-FISC
138,2020-07-15,63.48249999999999,MED-FISC
139,2020-07-16,60.33125,MED-FISC
140,2020-07-17,56.00416666666666,MED-FISC
141,2020-07-18,54.51958333333334,MED-FISC
142,2020-07-19,56.58125,MED-FISC
143,2020-07-20,61.40041666666666,MED-FISC
144,2020-07-21,65.63916666666667,MED-FISC
145,2020-07-22,69.57333333333334,MED-FISC
146,2020-07-23,76.72208333333333,MED-FISC
147,2020-07-24,75.665,MED-FISC
148,2020-07-25,74.44333333333334,MED-FISC
149,2020-07-26,66.06875000000001,MED-FISC
150,2020-07-27,65.61375,MED-FISC
151,2020-07-28,64.645,MED-FISC
152,2020-07-29,59.89916666666667,MED-FISC
153,2020-07-30,67.33958333333334,MED-FISC
154,2020-07-31,62.13434782608695,MED-FISC
155,2020-08-01,54.49541666666666,MED-FISC
156,2020-08-02,44.15166666666667,MED-FISC
157,2020-08-03,48.89208333333334,MED-FISC
158,2020-08-04,48.9775,MED-FISC
159,2020-08-05,55.10375,MED-FISC
160,2020-08-06,57.85541666666666,MED-FISC
161,2020-08-07,56.72083333333333,MED-FISC
162,2020-08-08,51.36791666666667,MED-FISC
163,2020-08-09,50.69041666666666,MED-FISC
164,2020-08-10,54.75583333333333,MED-FISC
165,2020-08-11,62.56541666666666,MED-FISC
166,2020-08-12,63.96791666666667,MED-FISC
167,2020-08-13,67.965,MED-FISC
168,2020-08-14,70.11874999999999,MED-FISC
169,2020-08-15,67.64625,MED-FISC
170,2020-08-16,70.43124999999999,MED-FISC
171,2020-08-17,70.83375,MED-FISC
172,2020-08-18,65.51083333333334,MED-FISC
173,2020-08-19,70.53500000000001,MED-FISC
174,2020-08-20,68.07416666666667,MED-FISC
175,2020-08-21,66.44,MED-FISC
176,2020-08-22,70.64083333333333,MED-FISC
177,2020-08-23,68.5025,MED-FISC
178,2020-08-24,69.79083333333334,MED-FISC
179,2020-08-25,70.11208333333333,MED-FISC
180,2020-08-26,72.22791666666667,MED-FISC
181,2020-08-27,70.27374999999999,MED-FISC
182,2020-08-28,64.98166666666667,MED-FISC
183,2020-08-29,61.80083333333334,MED-FISC
184,2020-08-30,65.79875,MED-FISC
185,2020-08-31,68.56260869565217,MED-FISC
186,2020-09-01,70.2925,MED-FISC
187,2020-09-02,71.22666666666667,MED-FISC
188,2020-09-03,72.63916666666667,MED-FISC
189,2020-09-04,69.03833333333334,MED-FISC
190,2020-09-05,61.4025,MED-FISC
191,2020-09-06,64.36291666666666,MED-FISC
192,2020-09-07,69.10958333333333,MED-FISC
193,2020-09-08,73.04041666666667,MED-FISC
194,2020-09-09,64.48333333333333,MED-FISC
195,2020-09-10,65.43791666666667,MED-FISC
196,2020-09-11,64.10375,MED-FISC
197,2020-09-12,70.25125,MED-FISC
198,2020-09-13,62.79749999999999,MED-FISC
199,2020-09-14,58.17333333333332,MED-FISC
200,2020-09-15,65.77666666666667,MED-FISC
201,2020-09-16,71.61375,MED-FISC
202,2020-09-17,68.70565217391304,MED-FISC
203,2020-09-18,73.07916666666667,MED-FISC
204,2020-09-19,71.62375,MED-FISC
205,2020-09-20,75.22583333333334,MED-FISC
206,2020-09-21,70.47166666666666,MED-FISC
207,2020-09-22,62.27083333333334,MED-FISC
208,2020-09-23,64.62083333333334,MED-FISC
209,2020-09-24,60.20124999999999,MED-FISC
210,2020-09-25,59.43166666666667,MED-FISC
211,2020-09-26,67.33749999999999,MED-FISC
212,2020-09-27,64.25041666666667,MED-FISC
213,2020-09-28,61.13291666666667,MED-FISC
214,2020-09-29,69.81916666666667,MED-FISC
215,2020-09-30,67.18652173913043,MED-FISC
216,2020-10-01,62.06458333333333,MED-FISC
217,2020-10-02,68.80708333333332,MED-FISC
218,2020-10-03,70.84166666666667,MED-FISC
219,2020-10-04,73.04791666666667,MED-FISC
220,2020-10-05,71.99416666666667,MED-FISC
221,2020-10-06,66.90708333333333,MED-FISC
222,2020-10-07,63.95916666666667,MED-FISC
223,2020-10-08,63.24541666666666,MED-FISC
224,2020-10-09,60.72416666666667,MED-FISC
225,2020-10-10,58.04666666666667,MED-FISC
226,2020-10-11,55.48625000000001,MED-FISC
227,2020-10-12,63.26833333333334,MED-FISC
228,2020-10-13,72.30583333333333,MED-FISC
229,2020-10-14,65.65375,MED-FISC
230,2020-10-24,73.93916666666667,MED-FISC
231,2020-10-25,72.02416666666666,MED-FISC
232,2020-10-26,67.07541666666667,MED-FISC
233,2020-10-27,68.22291666666666,MED-FISC
234,2020-10-28,67.25708333333334,MED-FISC
235,2020-10-29,73.28458333333333,MED-FISC
236,2020-10-30,71.47666666666667,MED-FISC
237,2020-10-31,72.80695652173912,MED-FISC
238,2020-11-01,69.86208333333333,MED-FISC
239,2020-11-02,64.31291666666667,MED-FISC
240,2020-11-03,67.04083333333334,MED-FISC
241,2020-11-04,68.92416666666666,MED-FISC
242,2020-11-05,68.80416666666666,MED-FISC
243,2020-11-06,73.34583333333333,MED-FISC
244,2020-11-07,66.09208333333333,MED-FISC
245,2020-11-08,72.34916666666668,MED-FISC
246,2020-11-09,72.36999999999999,MED-FISC
247,2020-11-10,69.85625,MED-FISC
248,2020-11-11,76.78875000000001,MED-FISC
249,2020-11-12,72.99374999999999,MED-FISC
250,2020-11-13,72.12875,MED-FISC
251,2020-11-14,68.01833333333333,MED-FISC
252,2020-11-15,68.6025,MED-FISC
253,2020-11-16,70.61791666666666,MED-FISC
254,2020-11-17,77.62458333333333,MED-FISC
255,2020-11-18,71.565,MED-FISC
256,2020-11-19,67.45333333333333,MED-FISC
257,2020-11-20,71.21541666666667,MED-FISC
258,2020-11-21,68.27374999999999,MED-FISC
259,2020-11-22,67.78750000000001,MED-FISC
260,2020-11-23,66.45333333333333,MED-FISC
261,2020-11-24,66.87166666666667,MED-FISC
262,2020-11-25,66.3775,MED-FISC
263,2020-11-26,67.59625,MED-FISC
264,2020-11-27,69.0475,MED-FISC
265,2020-11-28,73.80958333333334,MED-FISC
266,2020-11-29,66.81666666666666,MED-FISC
267,2020-11-30,73.01652173913044,MED-FISC
268,2020-12-01,68.17916666666666,MED-FISC
269,2020-12-02,73.74041666666666,MED-FISC
270,2020-12-03,69.48791666666666,MED-FISC
271,2020-12-04,67.10958333333333,MED-FISC
272,2020-12-05,65.69291666666668,MED-FISC
273,2020-12-06,65.77,MED-FISC
274,2020-12-07,68.35833333333333,MED-FISC
275,2020-12-08,67.21416666666667,MED-FISC
276,2020-12-09,70.91458333333334,MED-FISC
