,Fechas,Presion,Estacion
118,2020-06-25,640.1454545454545,MED-FISC
119,2020-06-26,640.5291666666667,MED-FISC
120,2020-06-27,639.8874999999999,MED-FISC
121,2020-06-28,640.5681818181819,MED-FISC
122,2020-06-29,640.2791666666667,MED-FISC
123,2020-06-30,640.0130434782608,MED-FISC
124,2020-07-01,640.35,MED-FISC
125,2020-07-02,640.3458333333333,MED-FISC
126,2020-07-03,639.8541666666666,MED-FISC
127,2020-07-04,640.6625,MED-FISC
128,2020-07-05,641.4791666666666,MED-FISC
129,2020-07-06,641.0727272727273,MED-FISC
130,2020-07-07,640.8818181818182,MED-FISC
131,2020-07-08,640.6421052631579,MED-FISC
132,2020-07-09,639.7375000000001,MED-FISC
133,2020-07-10,639.8416666666667,MED-FISC
134,2020-07-11,640.8291666666667,MED-FISC
135,2020-07-12,640.8583333333333,MED-FISC
136,2020-07-13,640.1666666666666,MED-FISC
137,2020-07-14,640.4958333333333,MED-FISC
138,2020-07-15,639.8954545454545,MED-FISC
139,2020-07-16,639.7666666666667,MED-FISC
140,2020-07-17,639.525,MED-FISC
141,2020-07-18,639.2454545454545,MED-FISC
142,2020-07-19,638.8874999999999,MED-FISC
143,2020-07-20,638.9583333333334,MED-FISC
144,2020-07-21,639.8625000000001,MED-FISC
145,2020-07-22,640.3333333333334,MED-FISC
146,2020-07-23,640.4954545454545,MED-FISC
147,2020-07-24,640.7952380952381,MED-FISC
148,2020-07-25,640.8772727272727,MED-FISC
149,2020-07-26,640.8249999999999,MED-FISC
150,2020-07-27,640.6291666666667,MED-FISC
151,2020-07-28,640.2208333333333,MED-FISC
152,2020-07-29,639.7541666666667,MED-FISC
153,2020-07-30,639.6791666666667,MED-FISC
154,2020-07-31,639.704347826087,MED-FISC
155,2020-08-01,640.4125,MED-FISC
156,2020-08-02,640.2791666666666,MED-FISC
157,2020-08-03,640.9708333333333,MED-FISC
158,2020-08-04,640.9958333333333,MED-FISC
159,2020-08-05,640.35,MED-FISC
160,2020-08-06,640.2208333333333,MED-FISC
161,2020-08-07,640.5666666666667,MED-FISC
162,2020-08-08,640.4833333333333,MED-FISC
163,2020-08-09,640.2875,MED-FISC
164,2020-08-10,639.7833333333333,MED-FISC
165,2020-08-11,639.0916666666667,MED-FISC
166,2020-08-12,638.75,MED-FISC
167,2020-08-13,638.52,MED-FISC
168,2020-08-14,639.1999999999999,MED-FISC
169,2020-08-15,639.5375,MED-FISC
170,2020-08-16,640.1541666666667,MED-FISC
171,2020-08-17,641.0625,MED-FISC
172,2020-08-18,640.2916666666666,MED-FISC
173,2020-08-19,640.3000000000001,MED-FISC
174,2020-08-20,640.6541666666667,MED-FISC
175,2020-08-21,640.5291666666667,MED-FISC
176,2020-08-22,640.9166666666666,MED-FISC
177,2020-08-23,640.8000000000001,MED-FISC
178,2020-08-24,640.2375000000001,MED-FISC
179,2020-08-25,640.0124999999999,MED-FISC
180,2020-08-26,640.8333333333334,MED-FISC
181,2020-08-27,641.1625,MED-FISC
182,2020-08-28,641.0541666666667,MED-FISC
183,2020-08-29,640.725,MED-FISC
184,2020-08-30,641.0136363636364,MED-FISC
185,2020-08-31,640.5739130434783,MED-FISC
186,2020-09-01,640.5583333333333,MED-FISC
187,2020-09-02,640.6541666666667,MED-FISC
188,2020-09-03,639.6291666666667,MED-FISC
189,2020-09-04,640.1666666666666,MED-FISC
190,2020-09-05,640.3958333333334,MED-FISC
191,2020-09-06,640.0625,MED-FISC
192,2020-09-07,639.5083333333333,MED-FISC
193,2020-09-08,640.6363636363636,MED-FISC
194,2020-09-09,641.0041666666667,MED-FISC
195,2020-09-10,640.8249999999999,MED-FISC
196,2020-09-11,639.5749999999999,MED-FISC
197,2020-09-12,639.475,MED-FISC
198,2020-09-13,639.7181818181817,MED-FISC
199,2020-09-14,641.3208333333333,MED-FISC
200,2020-09-15,641.4083333333333,MED-FISC
201,2020-09-16,641.4791666666666,MED-FISC
202,2020-09-17,640.7173913043479,MED-FISC
203,2020-09-18,640.9958333333333,MED-FISC
